20171016 115                                   ;  ;
20171016 116                                   ;  ;
20171017 003  1.33 1.23 0.99  1.23 0.96 1.16   ;  ;
20171017 004  0.98 0.95 1.18  0.92 1.12 1.05   ;  ;
20171017 005  0.89 1.03 1.48  1.03 1.42 1.19   ;  ;
20171017 006  1.07 0.93 0.96  0.98 0.96 0.79   ;  ;
20171017 007  1.21 1.01 0.91  1.01 0.97 0.90   ;  ;
20171017 008                                   ;  ;
20171017 009       1.23 1.03  1.23 0.99 1.15   ;  ;
20171017 010  0.96 0.94 1.05  0.93 1.31 0.96   ;  ;
20171018 010  1.95 1.70 1.43  1.70 1.64 1.99   ;  ;
20171018 011  1.59 1.49 1.01  1.43 1.05 1.18   ;  ;
20171018 012  1.23            1.11             ;  ;
20171018 013            1.10       1.24 1.35   ;  ;
20171018 014  0.94 1.03 1.13  1.09 1.06 1.08   ;  ;
20171018 015  0.87 0.94 1.10  1.40 1.10 1.00   ;  ;
20171018 016  1.13 1.67 1.22  1.35 1.04 1.44   ;  ;
20171018 017  1.17 1.08 1.14  0.96 1.10 0.96   ;  ;
20171018 018  1.07 1.37 1.14  1.10 1.14 0.88   ;  ;
20171019 003            1.40       1.32 1.40   ;  ;
20171019 009  2.14 1.86 1.62  1.72 1.54 1.60  thin cloud cover;  ;
20171019 010  2.19 1.68 1.52  1.44 1.52 1.33   ;  ;
20171019 011  1.45 1.04 0.96  1.04 0.96 0.90   ;  ;
20171020 003  1.09 1.08 1.10  1.27 1.03        ;  ;
20171021 008  1.70 1.59 1.65  1.48 2.11 1.62   ;  ;
20171021 009  1.12 1.65 1.37  1.31 1.45 1.26   ;  ;
20171021 010  1.10 1.27 0.90  1.40 0.94 0.95   ;  ;
20171022 008  1.30 1.18 1.18  1.31 1.18 1.41  got pushed late by preceding problem;  ;
20171022 009  1.41 1.46 1.41  1.36 1.37 1.35   ;  ;
20171022 016  1.81 1.71 1.78  1.70 1.80 1.64   ;  ;
20171023 012  0.93 0.91 1.02  1.00 1.18 0.93   ;  ;
20171023 013  1.00 0.71 0.81  0.86 0.75 0.80   ;  ;
20171023 014  0.77 0.70       0.70 0.63        ;  ;
