201702sci:/work/03946/hetdex/maverick/20170206/virus/virus0000004/exp01/virus/20170206T090841.2_093LL_sci.fits parallel 65.04918784 2423.69474951 57790.3810326392 12.6135 62.318071 36.352748  -100.129134 14.0916666666667
201702sci:/work/03946/hetdex/maverick/20170206/virus/virus0000005/exp01/virus/20170206T102520.4_093LL_sci.fits parallel 65.04918784 38.695394592 57790.4342647302 10.558804 53.529761 295.768022  -100.003554 14.0694444444444
201702sci:/work/03946/hetdex/maverick/20170218/virus/virus0000002/exp01/virus/20170218T053755.1_093LL_sci.fits parallel 67.900055296 542.411177087 57802.2346655144 9.9221 1.242177 149.555784  -110.029024 8.25944444444444
201702sci:/work/03946/hetdex/maverick/20170220/virus/virus0000008/exp01/virus/20170220T051057.1_093LL_sci.fits parallel 36.999384832 2323.693982192 57804.2159388652 9.9221 1.242177 149.555542  -110.112744 4.82055555555556
201702sci:/work/03946/hetdex/maverick/20170220/virus/virus0000013/exp01/virus/20170220T061255.0_093LL_sci.fits parallel 36.999384832 823.694480556 57804.258970242 11.868 12.320142 126.984699  -110.041582 4.40555555555556
201702sci:/work/03946/hetdex/maverick/20170220/virus/virus0000014/exp01/virus/20170220T062640.0_093LL_sci.fits parallel 36.999384832 823.694134215 57804.268519382 11.868 12.320142 126.984624  -110.041582 4.26833333333333
201702sci:/work/03946/hetdex/maverick/20170220/virus/virus0000015/exp01/virus/20170220T064025.1_093LL_sci.fits parallel 36.999384832 777.640939538 57804.278068888 11.868 12.320142 126.984624  -110.020652 4.08722222222222
201702sci:/work/03946/hetdex/maverick/20170220/virus/virus0000017/exp01/virus/20170220T071222.9_093LL_sci.fits parallel 36.999384832 623.693237069 57804.3002653359 13.398799 31.543364 99.739613  -110.037396 4.03055555555555
201702sci:/work/03946/hetdex/maverick/20170220/virus/virus0000018/exp01/virus/20170220T072411.8_093LL_sci.fits parallel 36.999384832 623.695086542 57804.3084707018 13.398799 31.543364 99.739613  -109.953676 3.86833333333333
201702sci:/work/03946/hetdex/maverick/20170220/virus/virus0000019/exp01/virus/20170220T073545.7_093LL_sci.fits parallel 36.999384832 623.694612542 57804.3165017092 13.398799 31.543364 99.739537  -110.091814 3.875
201702sci:/work/03946/hetdex/maverick/20170220/virus/virus0000020/exp01/virus/20170220T074717.4_093LL_sci.fits parallel 36.999384832 623.694298286 57804.3245074111 13.398799 31.543364 99.739537  -109.895072 4.04
201702sci:/work/03946/hetdex/maverick/20170220/virus/virus0000021/exp01/virus/20170220T102412.8_093LL_sci.fits parallel 36.999384832 823.693693698 57804.4334826195 15.612452 4.665678 141.112109  -110.045768 2.995
201702sci:/work/03946/hetdex/maverick/20170221/virus/virus0000007/exp01/virus/20170221T034814.3_093LL_sci.fits parallel 39.1502784 1223.695301132 57805.1584990514 4.4888 26.25799 253.356389  -110.058326 7.87833333333333
201702sci:/work/03946/hetdex/maverick/20170221/virus/virus0000009/exp01/virus/20170221T040929.1_093LL_sci.fits parallel 39.1502784 1223.694894051 57805.1732539074 4.4888 26.25799 253.356389  -109.903444 7.54611111111111
201702sci:/work/03946/hetdex/maverick/20170221/virus/virus0000011/exp01/virus/20170221T052704.5_093LL_sci.fits parallel 368.197284608 1223.69448177 57805.2271359893 11.655 46.96854 77.024405  -110.058326 7.66166666666667
201702sci:/work/03946/hetdex/maverick/20170222/virus/virus0000009/exp01/virus/20170222T063544.6_093LL_sci.fits parallel 367.899215872 2423.695491321 57806.2748227855 13.232 47.320585 76.411983  -110.125302 13.0588888888889
201702sci:/work/03946/hetdex/maverick/20170222/virus/virus0000013/exp01/virus/20170222T100413.9_093LL_sci.fits parallel 368.049303808 1223.695311828 57806.4196059685 15.7798 12.460036 126.685709  -110.07507 13.0811111111111
201702sci:/work/03946/hetdex/maverick/20170223/virus/virus0000007/exp01/virus/20170223T025333.0_093LL_sci.fits parallel 37.499321088 323.693917765 57807.1205211687 4.90471 65.114953 345.899564  -110.020652 17.2
201702sci:/work/03946/hetdex/maverick/20170223/virus/virus0000008/exp01/virus/20170223T030157.4_093LL_sci.fits parallel 37.499321088 323.694191146 57807.1263594758 4.90471 65.114953 345.899766  -110.003908 17.0683333333333
201702sci:/work/03946/hetdex/maverick/20170223/virus/virus0000009/exp01/virus/20170223T035735.8_093LL_sci.fits parallel 37.499321088 323.694410478 57807.1649982403 9.943836 22.644786 111.743381  -110.029024 18.3305555555556
