201808sci:/work/03946/hetdex/maverick/20180822/virus/virus0000020/exp03/virus/20180822T092925.2_105LL_sci.fits HF00171_E_000_E 487.90024192 522.586113478 58352.3954314692 1.660667 -0.15 153.154503 148.325776 -105.022212579846 18.7166666666667
201808sci:/work/03946/hetdex/maverick/20180822/virus/virus0000021/exp03/virus/20180822T100120.8_105LL_sci.fits HF00199_E_000_E 488.748312064 524.882576002 58352.4176018923 2.164667 -0.15 153.176454 148.35254 -105.013521179557 18.955
201808sci:/work/03946/hetdex/maverick/20180822/virus/virus0000022/exp03/virus/20180822T103554.2_105LL_sci.fits HF00212_W_000_W 427.148406784 462.357441877 58352.4415999367 0.544667 0.15 207.806483 212.847884 -105.017866879702 18.8738888888889
201808sci:/work/03946/hetdex/maverick/20180822/virus/virus0000023/exp03/virus/20180822T110154.2_105LL_sci.fits HF00231_W_000_W 367.200500992 402.880214583 58352.4596558223 0.886667 0.15 207.806401 212.847784 -105.013521179557 18.79
201808sci:/work/03946/hetdex/maverick/20180823/virus/virus0000018/exp03/virus/20180823T104341.6_105LL_sci.fits HF00213_W_000_W 367.848141056 402.835064232 58353.4470098792 0.562667 0.15 207.806401 212.847784 -105.004829779267 18.7644444444444
201809sci:/work/03946/hetdex/maverick/20180905/virus/virus0000024/exp03/virus/20180905T072237.9_105LL_sci.fits HF00544_E_000_E 368.44940032 403.529921256 58366.3073837729 0.558667 0 152.656154 147.717605 -110.015422046185 18.4455555555556
201809sci:/work/03946/hetdex/maverick/20180905/virus/virus0000025/exp03/virus/20180905T074641.4_105LL_sci.fits HF00548_E_000_E 367.60048 402.436388296 58366.3240903281 0.630667 0 152.656154 147.717605 -109.985002145171 18.58
201809sci:/work/03946/hetdex/maverick/20180910/virus/virus0000015/exp03/virus/20180910T070800.0_105LL_sci.fits HF00545_E_000_E 426.7012352 462.664859386 58371.2972225766 0.576667 0 152.652639 147.713311 -110.01107634604 14.6327777777778
201809sci:/work/03946/hetdex/maverick/20180910/virus/virus0000016/exp03/virus/20180910T073442.9_105LL_sci.fits HF00559_E 428.197428224 464.53886539 58371.3157751262 1.045333 0 152.652639 147.713311 -110.01107634604 16.0488888888889
201809sci:/work/03946/hetdex/maverick/20180910/virus/virus0000017/exp03/virus/20180910T075941.9_105LL_sci.fits HF00565_E 366.800242432 401.9852437 58371.3331244676 1.476667 0 152.652639 147.713311 -110.006730645895 14.7277777777778
201809sci:/work/03946/hetdex/maverick/20180910/virus/virus0000018/exp03/virus/20180910T082446.6_105LL_sci.fits HF00568_E 428.25034368 463.930314299 58371.3505398976 1.783333 0 152.652639 147.713311 -110.028459146619 14.3577777777778
201809sci:/work/03946/hetdex/maverick/20180910/virus/virus0000020/exp03/virus/20180910T085311.7_105LL_sci.fits HF00419_E 367.051147008 402.380679694 58371.370274554 2.344667 -0.15 152.652721 147.713411 -109.998039245605 16.6005555555556
201809sci:/work/03946/hetdex/maverick/20180910/virus/virus0000021/exp03/virus/20180910T091751.8_105LL_sci.fits HF00425_E 427.450244864 462.157351024 58371.387405159 2.452667 -0.15 152.652721 147.713411 -110.015422046185 17.2644444444444
201809sci:/work/03946/hetdex/maverick/20180910/virus/virus0000022/exp03/virus/20180910T094306.2_105LL_sci.fits HF00551_W 368.399255296 404.132705878 58371.4049332258 0.74 0 207.019827 211.886857 -109.998039245605 16.8088888888889
201809sci:/work/03946/hetdex/maverick/20180910/virus/virus0000023/exp03/virus/20180910T100709.5_105LL_sci.fits HF00563_W 367.698532096 402.332089212 58371.4216380296 1.296667 0 207.019745 211.886757 -110.01107634604 16.6311111111111
201809sci:/work/03946/hetdex/maverick/20180910/virus/virus0000024/exp03/virus/20180910T105022.9_105LL_sci.fits HF00513_W_000_W 366.849234688 401.656458034 58371.4516542573 1.915333 0.32 208.288342 213.437862 -109.998039245605 16.3222222222222
201809sci:/work/03946/hetdex/maverick/20180911/virus/virus0000016/exp03/virus/20180911T071107.9_105LL_sci.fits HF00120_E_000_E 367.051945984 401.858197262 58372.2993973247 0.742667 -0.15 153.125511 148.290424 -110.006730645895 14.8722222222222
201809sci:/work/03946/hetdex/maverick/20180911/virus/virus0000017/exp03/virus/20180911T073425.7_105LL_sci.fits HF00561_E 368.550939392 403.338734772 58372.3155760393 1.153333 0 153.125429 148.290324 -110.01107634604 14.9055555555556
201809sci:/work/03946/hetdex/maverick/20180911/virus/virus0000018/exp03/virus/20180911T075756.3_105LL_sci.fits HF00566_E 367.802362368 403.10609481 58372.3319021408 1.496667 0 153.125429 148.290324 -110.024113446474 14.8566666666667
201809sci:/work/03946/hetdex/maverick/20180911/virus/virus0000019/exp03/virus/20180911T082204.6_105LL_sci.fits HF00569_E 367.551223808 402.508741352 58372.3486653687 2.016667 0 153.125429 148.290324 -110.00238494575 14.8577777777778
201809sci:/work/03946/hetdex/maverick/20180911/virus/virus0000020/exp03/virus/20180911T084635.6_105LL_sci.fits HF00570_E 367.750029568 402.832494225 58372.3656899952 2.142667 0 153.125348 148.290225 -110.006730645895 15.2133333333333
201809sci:/work/03946/hetdex/maverick/20180911/virus/virus0000021/exp03/virus/20180911T090940.7_105LL_sci.fits HF00424_E 367.096376576 402.881818383 58372.3817213266 2.434667 -0.15 153.125348 148.290225 -110.015422046185 15.7916666666667
201809sci:/work/03946/hetdex/maverick/20180911/virus/virus0000022/exp03/virus/20180911T093452.2_105LL_sci.fits HF00551_W 368.548717824 403.505987306 58372.3992153313 0.74 0 207.021548 211.888956 -110.00238494575 16.0811111111111
201809sci:/work/03946/hetdex/maverick/20180911/virus/virus0000023/exp03/virus/20180911T095836.5_105LL_sci.fits HF00563_W 366.899373824 402.307719812 58372.4157004398 1.296667 0 207.021548 211.888956 -110.006730645895 15.155
201809sci:/work/03946/hetdex/maverick/20180911/virus/virus0000024/exp03/virus/20180911T102158.5_105LL_sci.fits HF00268_W 367.201949696 403.633848506 58372.4319281378 1.552667 0.15 207.021548 211.888956 -110.006730645895 15.47
201809sci:/work/03946/hetdex/maverick/20180911/virus/virus0000025/exp03/virus/20180911T104501.7_105LL_sci.fits HF00567_W 367.198992384 402.006003474 58372.4479373037 1.73 0 207.021548 211.888956 -110.00238494575 15.4122222222222
201809sci:/work/03946/hetdex/maverick/20180911/virus/virus0000026/exp03/virus/20180911T110913.8_105LL_sci.fits HF00430_W 367.150523392 402.630458143 58372.4647440719 2.326667 0.15 207.021548 211.888956 -110.006730645895 15.4305555555556
