yyyymmdd yyyymm specid ifuslot ifuid
20170326 201703 027 085 001
20170326 201703 032 094 028
20170326 201703 037 073 031
20170326 201703 038 096 014
20170326 201703 041 084 015
20170326 201703 047 075 075
20170326 201703 051 105 051
20170326 201703 307 074 076
20170327 201703 008 093 054
20170327 201703 012 106 033
20170327 201703 013 103 019
20170327 201703 016 104 026
20170327 201703 017 086 022
20170327 201703 020 095 004
20170327 201703 024 083 023
20170327 201703 025 076 032
20170327 201703 027 085 001
20170327 201703 032 094 028
20170327 201703 037 073 031
20170327 201703 038 096 014
20170327 201703 041 084 015
20170327 201703 047 075 075
20170327 201703 051 105 051
20170327 201703 307 074 076
20170328 201703 008 093 054
20170328 201703 012 106 033
20170328 201703 013 103 019
20170328 201703 016 104 026
20170328 201703 017 086 022
20170328 201703 020 095 004
20170328 201703 024 083 023
20170328 201703 025 076 032
20170328 201703 027 085 001
20170328 201703 032 094 028
20170328 201703 037 073 031
20170328 201703 038 096 014
20170328 201703 041 084 015
20170328 201703 047 075 075
20170328 201703 051 105 051
20170328 201703 307 074 076
20170330 201703 008 093 054
20170330 201703 012 106 033
20170330 201703 013 103 019
20170330 201703 016 104 026
20170330 201703 017 086 022
20170330 201703 020 095 004
20170330 201703 024 083 023
20170330 201703 025 076 032
20170330 201703 027 085 001
20170330 201703 032 094 028
20170330 201703 037 073 031
20170330 201703 038 096 014
20170330 201703 041 084 015
20170330 201703 047 075 075
20170330 201703 051 105 051
20170330 201703 307 074 076
20170331 201703 008 093 054
20170331 201703 012 106 033
20170331 201703 013 103 019
20170331 201703 016 104 026
20170331 201703 017 086 022
20170331 201703 020 095 004
20170331 201703 024 083 023
20170331 201703 025 076 032
20170331 201703 027 085 001
20170331 201703 032 094 028
20170331 201703 037 073 031
20170331 201703 038 096 014
20170331 201703 041 084 015
20170331 201703 047 075 075
20170331 201703 051 105 051
20170331 201703 307 074 076
20170418 201704 008 093 054
20170418 201704 012 106 033
20170418 201704 013 103 019
20170418 201704 016 104 026
20170418 201704 017 086 022
20170418 201704 020 095 004
20170418 201704 024 083 023
20170418 201704 025 076 032
20170418 201704 027 085 001
20170418 201704 032 094 028
20170418 201704 037 073 031
20170418 201704 038 096 014
20170418 201704 041 084 015
20170418 201704 047 075 075
20170418 201704 051 105 051
20170418 201704 307 074 076
20170419 201704 008 093 054
20170419 201704 012 106 033
20170419 201704 013 103 019
20170419 201704 016 104 026
20170419 201704 017 086 022
20170419 201704 020 095 004
20170419 201704 024 083 023
20170419 201704 025 076 032
20170419 201704 027 085 001
20170419 201704 032 094 028
20170419 201704 037 073 031
20170419 201704 038 096 014
20170419 201704 041 084 015
20170419 201704 047 075 075
20170419 201704 051 105 051
20170419 201704 307 074 076
20170420 201704 008 093 054
20170420 201704 012 106 033
20170420 201704 013 103 019
20170420 201704 016 104 026
20170420 201704 017 086 022
20170420 201704 020 095 004
20170420 201704 024 083 023
20170420 201704 025 076 032
20170420 201704 027 085 001
20170420 201704 032 094 028
20170420 201704 037 073 031
20170420 201704 038 096 014
20170420 201704 041 084 015
20170420 201704 047 075 075
20170420 201704 051 105 051
20170420 201704 307 074 076
20170421 201704 008 093 054
20170421 201704 012 106 033
20170421 201704 013 103 019
20170421 201704 016 104 026
20170421 201704 017 086 022
20170421 201704 020 095 004
20170421 201704 024 083 023
20170421 201704 025 076 032
20170421 201704 027 085 001
20170421 201704 032 094 028
20170421 201704 037 073 031
20170421 201704 038 096 014
20170421 201704 041 084 015
20170421 201704 047 075 075
20170421 201704 051 105 051
20170421 201704 307 074 076
20170423 201704 008 093 054
20170423 201704 012 106 033
20170423 201704 013 103 019
20170423 201704 016 104 026
20170423 201704 017 086 022
20170423 201704 020 095 004
20170423 201704 024 083 023
20170423 201704 025 076 032
20170423 201704 027 085 001
20170423 201704 032 094 028
20170423 201704 037 073 031
20170423 201704 038 096 014
20170423 201704 041 084 015
20170423 201704 047 075 075
20170423 201704 051 105 051
20170423 201704 307 074 076
20170424 201704 008 093 054
20170424 201704 012 106 033
20170424 201704 013 103 019
20170424 201704 016 104 026
20170424 201704 017 086 022
20170424 201704 020 095 004
20170424 201704 024 083 023
20170424 201704 025 076 032
20170424 201704 027 085 001
20170424 201704 032 094 028
20170424 201704 037 073 031
