 -0.050   0.025   1.285  -0.727   1.194   0.703 20180313 008
  0.021   0.005   1.196  -0.743   1.214   0.738 20180313 009
  0.044  -0.118   1.169  -0.647   1.216   0.766 20180313 010
  0.063  -0.032   1.054  -0.631   1.314   0.664 20180313 011
  0.040   0.027   1.214  -0.687   1.176   0.661 20180313 012
 -0.083  -0.058   1.271  -0.627   1.242   0.685 20180313 013
 -0.011   0.010   1.159  -0.704   1.281   0.695 20180313 014
  0.742   0.013   0.851  -0.041   0.837   0.028 20180313 015
  0.761  -0.055   0.848  -0.001   0.820   0.057 20180313 016
  0.699   0.102   0.875  -0.158   0.857   0.056 20180313 017
 -0.139   0.001   1.208  -0.716   1.362   0.715 20180316 007
 -0.036  -0.010   1.314  -0.734   1.153   0.743 20180316 008
  0.035   0.034   1.211  -0.695   1.183   0.662 20180316 009
  0.047   0.001   1.182  -0.613   1.201   0.611 20180316 010
 -0.063   0.005   1.297  -0.681   1.197   0.677 20180316 011
 -0.066   0.043   1.239  -0.777   1.257   0.735 20180316 012
  0.011   0.014   1.267  -0.749   1.153   0.734 20180316 013
  0.743  -0.000   0.836  -0.027   0.850   0.028 20180316 015
  0.754   0.053   0.848  -0.059   0.829   0.006 20180316 016
  0.193   0.033   1.123  -0.640   1.115   0.608 20180317 007
 -0.173  -0.038   1.462  -0.669   1.140   0.707 20180317 008
 -0.198   0.024   1.305  -0.821   1.322   0.797 20180317 009
  0.003   0.022   1.172  -0.595   1.254   0.572 20180317 010
 -0.216   0.092   1.236  -0.677   1.411   0.586 20180317 011
  0.120  -0.117   0.939  -0.682   1.371   0.800 20180317 012
  0.061  -0.003   1.214  -0.567   1.156   0.569 20180319 012
  0.006  -0.121   1.246  -0.655   1.179   0.776 20180319 013
  0.103   0.069   1.156  -0.682   1.170   0.613 20180319 014
 -0.020   0.008   1.195  -0.666   1.256   0.659 20180319 015
 -0.050   0.043   1.246  -0.722   1.235   0.680 20180320 008
  0.744  -0.010   0.842  -0.056   0.844   0.065 20180320 009
 -0.051  -0.009   1.253  -0.715   1.227   0.725 20180320 013
  0.041  -0.082   1.202  -0.581   1.186   0.664 20180320 014
 -0.010   0.024   1.188  -0.692   1.253   0.669 20180320 015
 -0.077   0.093   1.344  -0.801   1.162   0.708 20180321 009
 -0.037  -0.036   1.276  -0.716   1.190   0.753 20180321 010
  0.022   0.077   1.208  -0.622   1.200   0.544 20180321 011
  0.074  -0.005   1.151  -0.684   1.206   0.690 20180321 012
 -0.036  -0.046   1.251  -0.750   1.216   0.797 20180321 013
 -0.059   0.025   1.229  -0.796   1.261   0.770 20180321 014
  0.006   0.069   1.259  -0.779   1.166   0.711 20180321 015
 -0.019   0.107   1.424  -0.741   1.024   0.633 20180321 020
  0.022   0.010   1.281  -0.648   1.128   0.637 20180321 021
 -0.010   0.010   1.203  -0.679   1.237   0.669 20180321 022
  0.086  -0.093   1.037  -0.567   1.306   0.660 20180321 023
  0.066  -0.130   1.289  -0.682   1.076   0.813 20180321 024
  0.117   0.041   1.165  -0.662   1.148   0.620 20180321 025
 -0.084  -0.055   1.300  -0.665   1.214   0.721 20180321 026
 -0.081   0.033   1.217  -0.824   1.294   0.792 20180407 002
 -0.118   0.107   1.300  -0.705   1.248   0.598 20180408 002
  0.039   0.068   1.169  -0.625   1.221   0.558 20180408 003
 -0.017  -0.009   1.306  -0.739   1.140   0.748 20180408 004
 -0.024   0.051   1.206  -0.761   1.249   0.709 20180408 005
 -0.110   0.006   1.305  -0.684   1.234   0.678 20180408 006
 -0.002  -0.011   1.194  -0.663   1.239   0.673 20180408 012
  0.003   0.014   1.231  -0.697   1.197   0.682 20180408 013
 -0.004   0.118   1.250  -0.774   1.184   0.657 20180408 014
 -0.047  -0.004   1.233  -0.685   1.243   0.689 20180408 015
  0.034   0.018   1.238  -0.718   1.159   0.699 20180408 016
  0.008  -0.000   1.285  -0.662   1.138   0.663 20180409 004
  0.071  -0.046   1.139  -0.664   1.219   0.709 20180409 005
  0.046  -0.000   1.213  -0.687   1.171   0.688 20180409 006
  0.013   0.082   1.289  -0.671   1.128   0.590 20180409 008
 -0.084  -0.012   1.277  -0.702   1.236   0.713 20180409 009
  0.051   0.015   1.194  -0.672   1.184   0.657 20180409 010
 -0.092   0.138   1.222  -0.838   1.299   0.699 20180409 011
 -0.070  -0.001   1.258  -0.687   1.241   0.688 20180409 012
 -0.122  -0.057   1.265  -0.696   1.286   0.753 20180409 018
  0.024   0.013   1.258  -0.744   1.147   0.731 20180410 004
 -0.120  -0.050   1.222  -0.692   1.327   0.741 20180410 005
 -0.041   0.042   1.245  -0.677   1.227   0.635 20180410 006
  0.079  -0.004   1.210  -0.670   1.141   0.674 20180410 012
 -0.037   0.061   1.254  -0.708   1.213   0.646 20180411 003
  0.041   0.008   1.270  -0.643   1.120   0.634 20180411 004
