multiframe start_shot stop_shot num_shots mf_ifu done id
multi_321_042_030_RU 20180805v009 20240731v009 6317 multi_321_042_030 False 212
multi_318_026_078_LU 20180805v009 20240731v009 6319 multi_318_026_078 False 213
multi_321_042_030_RL 20180805v009 20240731v009 6317 multi_321_042_030 False 214
multi_321_042_030_LL 20180805v009 20240731v009 6317 multi_321_042_030 False 215
multi_320_032_020_RU 20180805v009 20240731v009 5917 multi_320_032_020 False 216
multi_320_032_020_RL 20180805v009 20240731v009 5876 multi_320_032_020 False 217
multi_320_032_020_LU 20180805v009 20240731v009 5917 multi_320_032_020 False 218
multi_320_032_020_LL 20180805v009 20240731v009 5917 multi_320_032_020 False 219
multi_318_026_078_RU 20180805v009 20240731v009 6319 multi_318_026_078 False 220
multi_321_042_030_LU 20180805v009 20240731v009 6317 multi_321_042_030 False 221
multi_312_045_065_RU 20180805v009 20240731v009 6210 multi_312_045_065 False 222
multi_303_025_013_RL 20180805v009 20240731v009 6306 multi_303_025_013 False 223
multi_312_045_065_LU 20180805v009 20240731v009 6210 multi_312_045_065 False 224
multi_202_035_074_LL 20180805v009 20240731v009 6310 multi_202_035_074 False 225
multi_202_035_074_LU 20180805v009 20240731v009 6310 multi_202_035_074 False 226
multi_202_035_074_RL 20180805v009 20240731v009 6310 multi_202_035_074 False 227
multi_202_035_074_RU 20180805v009 20240731v009 6310 multi_202_035_074 False 228
multi_301_052_072_LL 20180805v009 20240731v009 6319 multi_301_052_072 False 229
multi_301_052_072_LU 20180805v009 20240731v009 6319 multi_301_052_072 False 230
multi_301_052_072_RL 20180805v009 20240731v009 6319 multi_301_052_072 False 231
multi_301_052_072_RU 20180805v009 20240731v009 6319 multi_301_052_072 False 232
multi_302_036_041_LL 20180805v009 20240731v009 6302 multi_302_036_041 False 233
multi_302_036_041_LU 20180805v009 20240731v009 6302 multi_302_036_041 False 234
multi_312_045_065_RL 20180805v009 20240731v009 6210 multi_312_045_065 False 235
multi_302_036_041_RU 20180805v009 20240731v009 6302 multi_302_036_041 False 236
multi_303_025_013_LL 20180805v009 20240731v009 6306 multi_303_025_013 False 237
multi_303_025_013_LU 20180805v009 20240731v009 6306 multi_303_025_013 False 238
multi_304_044_045_LL 20180805v009 20240731v009 6289 multi_304_044_045 False 239
multi_302_036_041_RL 20180805v009 20240731v009 6302 multi_302_036_041 False 240
multi_304_044_045_RL 20180805v009 20240731v009 6289 multi_304_044_045 False 241
multi_312_045_065_LL 20180805v009 20240731v009 6210 multi_312_045_065 False 242
multi_311_053_025_RU 20180805v009 20240731v009 6273 multi_311_053_025 False 243
multi_304_044_045_LU 20180805v009 20240731v009 6289 multi_304_044_045 False 244
multi_311_053_025_LU 20180805v009 20240731v009 6273 multi_311_053_025 False 245
multi_311_053_025_LL 20180805v009 20240731v009 6273 multi_311_053_025 False 246
multi_306_037_057_RU 20180805v009 20240731v009 6302 multi_306_037_057 False 247
multi_306_037_057_RL 20180805v009 20240731v009 6302 multi_306_037_057 False 248
multi_311_053_025_RL 20180805v009 20240731v009 6135 multi_311_053_025 False 249
multi_306_037_057_LL 20180805v009 20240731v009 6302 multi_306_037_057 False 250
multi_305_034_056_RU 20180805v009 20240731v009 6198 multi_305_034_056 False 251
multi_305_034_056_RL 20180805v009 20240731v009 6198 multi_305_034_056 False 252
multi_305_034_056_LU 20180805v009 20240731v009 6198 multi_305_034_056 False 253
multi_305_034_056_LL 20180805v009 20240731v009 6198 multi_305_034_056 False 254
multi_304_044_045_RU 20180805v009 20240731v009 6289 multi_304_044_045 False 255
multi_306_037_057_LU 20180805v009 20240731v009 6302 multi_306_037_057 False 256
multi_308_047_024_RU 20180831v003 20240731v009 6275 multi_308_047_024 False 257
multi_308_047_024_RL 20180831v003 20240731v009 6275 multi_308_047_024 False 258
multi_308_047_024_LL 20180831v003 20240731v009 6275 multi_308_047_024 False 259
multi_308_047_024_LU 20180831v003 20240731v009 6275 multi_308_047_024 False 260
multi_329_097_029_RL 20180929v007 20190325v017 543 multi_329_097_029 False 261
multi_328_087_048_LL 20180929v007 20190325v017 543 multi_328_087_048 False 262
multi_328_087_048_LU 20180929v007 20190325v017 543 multi_328_087_048 False 263
multi_328_087_048_RL 20180929v007 20190325v017 543 multi_328_087_048 False 264
multi_328_087_048_RU 20180929v007 20190325v017 543 multi_328_087_048 False 265
multi_329_097_029_LL 20180929v007 20190325v017 543 multi_329_097_029 False 266
multi_329_097_029_LU 20180929v007 20190325v017 543 multi_329_097_029 False 267
multi_329_097_029_RU 20180929v007 20190325v017 543 multi_329_097_029 False 268
multi_401_013_043_RU 20181102v007 20190523v013 758 multi_401_013_043 False 269
multi_401_013_043_RL 20181102v007 20190523v013 758 multi_401_013_043 False 270
multi_401_013_043_LU 20181102v007 20190523v013 758 multi_401_013_043 False 271
multi_401_013_043_LL 20181102v007 20190523v013 758 multi_401_013_043 False 272
multi_205_067_058_LL 20181205v011 20190325v017 346 multi_205_067_058 False 273
multi_205_067_058_LU 20181205v011 20190325v017 346 multi_205_067_058 False 274
multi_205_067_058_RL 20181205v011 20190325v017 346 multi_205_067_058 False 275
multi_205_067_058_RU 20181205v011 20190325v017 346 multi_205_067_058 False 276
multi_047_092_075_RU 20190401v016 20190908v019 577 multi_047_092_075 False 277
multi_047_092_075_RL 20190401v016 20190908v019 577 multi_047_092_075 False 278
multi_047_092_075_LU 20190401v016 20190908v019 577 multi_047_092_075 False 279
multi_047_092_075_LL 20190401v016 20190908v019 577 multi_047_092_075 False 280
multi_017_097_022_LL 20190401v016 20210304v019 2385 multi_017_097_022 False 281
multi_017_097_022_LU 20190401v016 20210304v019 2364 multi_017_097_022 False 282
multi_017_097_022_RL 20190401v016 20210304v019 2385 multi_017_097_022 False 283
multi_017_097_022_RU 20190401v016 20210304v019 2385 multi_017_097_022 False 284
multi_041_063_015_RU 20190401v016 20211208v026 3157 multi_041_063_015 False 285
multi_041_063_015_LU 20190401v016 20211208v026 3157 multi_041_063_015 False 286
multi_041_063_015_LL 20190401v016 20211208v026 3157 multi_041_063_015 False 287
multi_041_063_015_RL 20190401v016 20211208v026 3157 multi_041_063_015 False 288
multi_328_083_048_LL 20190401v016 20240731v009 4436 multi_328_083_048 False 289
multi_319_062_023_RL 20190401v016 20240731v009 5594 multi_319_062_023 False 290
multi_319_062_023_RU 20190401v016 20240731v009 5594 multi_319_062_023 False 291
multi_322_084_062_LL 20190401v016 20240731v009 5659 multi_322_084_062 False 292
multi_322_084_062_LU 20190401v016 20240731v009 5659 multi_322_084_062 False 293
multi_322_084_062_RL 20190401v016 20240731v009 5659 multi_322_084_062 False 294
multi_322_084_062_RU 20190401v016 20240731v009 5659 multi_322_084_062 False 295
multi_325_076_044_LL 20190401v016 20240731v009 5671 multi_325_076_044 False 296
multi_325_076_044_LU 20190401v016 20240731v009 5671 multi_325_076_044 False 297
multi_325_076_044_RL 20190401v016 20240731v009 5671 multi_325_076_044 False 298
multi_327_081_017_RU 20190401v016 20240731v009 5542 multi_327_081_017 False 299
multi_325_076_044_RU 20190401v016 20240731v009 5671 multi_325_076_044 False 300
multi_327_081_017_LU 20190401v016 20240731v009 5542 multi_327_081_017 False 301
multi_327_081_017_RL 20190401v016 20240731v009 5542 multi_327_081_017 False 302
multi_329_088_029_RL 20190401v016 20240731v009 5663 multi_329_088_029 False 303
multi_329_088_029_LU 20190401v016 20240731v009 5663 multi_329_088_029 False 304
multi_329_088_029_LL 20190401v016 20240731v009 5663 multi_329_088_029 False 305
multi_328_083_048_RU 20190401v016 20240731v009 5671 multi_328_083_048 False 306
multi_328_083_048_RL 20190401v016 20240731v009 5671 multi_328_083_048 False 307
multi_319_062_023_LU 20190401v016 20240731v009 5594 multi_319_062_023 False 308
multi_328_083_048_LU 20190401v016 20240731v009 5671 multi_328_083_048 False 309
multi_327_081_017_LL 20190401v016 20240731v009 5542 multi_327_081_017 False 310
multi_319_062_023_LL 20190401v016 20240731v009 5594 multi_319_062_023 False 311
multi_204_087_037_RU 20190401v016 20240731v009 5666 multi_204_087_037 False 312
multi_307_085_076_RL 20190401v016 20240731v009 5668 multi_307_085_076 False 313
multi_025_067_032_LL 20190401v016 20240731v009 5275 multi_025_067_032 False 314
multi_025_067_032_LU 20190401v016 20240731v009 3818 multi_025_067_032 False 315
multi_025_067_032_RL 20190401v016 20240731v009 5275 multi_025_067_032 False 316
multi_025_067_032_RU 20190401v016 20240731v009 5275 multi_025_067_032 False 317
multi_027_098_001_LL 20190401v016 20240731v009 5649 multi_027_098_001 False 318
multi_027_098_001_LU 20190401v016 20240731v009 5649 multi_027_098_001 False 319
